2022-09-21 11:27:50.848 [main] INFO  c.c.f.f.internals.provider.DefaultServerProvider - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2022-09-21 11:28:06.340 [main] INFO  com.fzs.iotcard.business.BusinessApplication - Starting BusinessApplication on chasedeMacBook-Pro.local with PID 72150 (/Users/chase/IdeaProjects/company/iotcard/business-service/target/classes started by chase in /Users/chase/IdeaProjects/company/iotcard)
2022-09-21 11:28:06.342 [main] INFO  com.fzs.iotcard.business.BusinessApplication - The following profiles are active: chase-elk
2022-09-21 11:28:09.202 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-21 11:28:09.209 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-21 11:28:09.347 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 122ms. Found 0 Redis repository interfaces.
2022-09-21 11:28:10.907 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2022-09-21 11:28:10.917 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2022-09-21 11:28:10.918 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-21 11:28:10.918 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-09-21 11:28:11.061 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/iotcard-buss] - Initializing Spring embedded WebApplicationContext
2022-09-21 11:28:11.062 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4383 ms
2022-09-21 11:28:15.891 [main] INFO  org.redisson.Version - Redisson 3.11.2
2022-09-21 11:28:16.292 [redisson-netty-2-17] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for 10.20.70.193/10.20.70.193:7003
2022-09-21 11:28:16.290 [redisson-netty-2-27] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 10.20.70.193/10.20.70.193:7003
2022-09-21 11:28:20.756 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-09-21 11:28:21.494 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-09-21 11:28:23.269 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-09-21 11:28:24.954 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2022-09-21 11:28:24.968 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2022-09-21 11:28:24.969 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2022-09-21 11:28:24.969 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
